00:16:23.816447 IP comp3134Winter2022.ssh > cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855: Flags [P.], seq 2605400:2605612, ack 1153, win 501, length 212
00:16:23.816606 IP comp3134Winter2022.ssh > cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855: Flags [P.], seq 2605612:2605824, ack 1153, win 501, length 212
00:16:23.816729 IP comp3134Winter2022.ssh > cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855: Flags [P.], seq 2605824:2606036, ack 1153, win 501, length 212
00:16:23.816918 IP comp3134Winter2022.ssh > cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855: Flags [P.], seq 2606036:2606248, ack 1153, win 501, length 212
00:16:23.817067 IP comp3134Winter2022.ssh > cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855: Flags [P.], seq 2606248:2606460, ack 1153, win 501, length 212
00:16:23.817197 IP comp3134Winter2022.ssh > cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855: Flags [P.], seq 2606460:2606672, ack 1153, win 501, length 212
00:16:23.817320 IP comp3134Winter2022.ssh > cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855: Flags [P.], seq 2606672:2606884, ack 1153, win 501, length 212
00:16:23.817447 IP comp3134Winter2022.ssh > cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855: Flags [P.], seq 2606884:2607096, ack 1153, win 501, length 212
00:16:23.817578 IP comp3134Winter2022.ssh > cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855: Flags [P.], seq 2607096:2607308, ack 1153, win 501, length 212
00:16:23.817775 IP comp3134Winter2022.ssh > cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855: Flags [P.], seq 2607308:2607520, ack 1153, win 501, length 212
00:16:23.817907 IP comp3134Winter2022.ssh > cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855: Flags [P.], seq 2607520:2607732, ack 1153, win 501, length 212
00:16:23.818029 IP comp3134Winter2022.ssh > cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855: Flags [P.], seq 2607732:2607944, ack 1153, win 501, length 212
00:16:23.818153 IP comp3134Winter2022.ssh > cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855: Flags [P.], seq 2607944:2608156, ack 1153, win 501, length 212
00:16:23.818316 IP comp3134Winter2022.ssh > cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855: Flags [P.], seq 2608156:2608368, ack 1153, win 501, length 212
00:16:23.818443 IP comp3134Winter2022.ssh > cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855: Flags [P.], seq 2608368:2608580, ack 1153, win 501, length 212
00:16:23.818564 IP comp3134Winter2022.ssh > cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855: Flags [P.], seq 2608580:2608792, ack 1153, win 501, length 212
00:16:23.818692 IP comp3134Winter2022.ssh > cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855: Flags [P.], seq 2608792:2609004, ack 1153, win 501, length 212
00:16:23.818812 IP comp3134Winter2022.ssh > cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855: Flags [P.], seq 2609004:2609216, ack 1153, win 501, length 212
00:16:23.818936 IP comp3134Winter2022.ssh > cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855: Flags [P.], seq 2609216:2609428, ack 1153, win 501, length 212
00:16:23.819065 IP comp3134Winter2022.ssh > cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855: Flags [P.], seq 2609428:2609640, ack 1153, win 501, length 212
00:16:23.819185 IP comp3134Winter2022.ssh > cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855: Flags [P.], seq 2609640:2609852, ack 1153, win 501, length 212
00:16:23.819308 IP comp3134Winter2022.ssh > cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855: Flags [P.], seq 2609852:2610064, ack 1153, win 501, length 212
00:16:23.819429 IP comp3134Winter2022.ssh > cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855: Flags [P.], seq 2610064:2610276, ack 1153, win 501, length 212
00:16:23.819549 IP comp3134Winter2022.ssh > cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855: Flags [P.], seq 2610276:2610488, ack 1153, win 501, length 212
00:16:23.819716 IP comp3134Winter2022.ssh > cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855: Flags [P.], seq 2610488:2610700, ack 1153, win 501, length 212
00:16:23.819846 IP comp3134Winter2022.ssh > cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855: Flags [P.], seq 2610700:2610912, ack 1153, win 501, length 212
00:16:23.819970 IP comp3134Winter2022.ssh > cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855: Flags [P.], seq 2610912:2611124, ack 1153, win 501, length 212
00:16:23.820090 IP comp3134Winter2022.ssh > cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855: Flags [P.], seq 2611124:2611336, ack 1153, win 501, length 212
00:16:23.820210 IP comp3134Winter2022.ssh > cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855: Flags [P.], seq 2611336:2611548, ack 1153, win 501, length 212
00:16:23.820344 IP cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855 > comp3134Winter2022.ssh: Flags [.], ack 2593428, win 267, length 0
00:16:23.820345 IP cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855 > comp3134Winter2022.ssh: Flags [.], ack 2599532, win 243, length 0
00:16:23.820492 IP comp3134Winter2022.ssh > cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855: Flags [P.], seq 2611548:2611760, ack 1153, win 501, length 212
00:16:23.820560 IP comp3134Winter2022.ssh > cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855: Flags [P.], seq 2611760:2612100, ack 1153, win 501, length 340
00:16:23.820701 IP comp3134Winter2022.ssh > cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855: Flags [P.], seq 2612100:2612480, ack 1153, win 501, length 380
00:16:23.820823 IP comp3134Winter2022.ssh > cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855: Flags [P.], seq 2612480:2612692, ack 1153, win 501, length 212
00:16:23.820942 IP comp3134Winter2022.ssh > cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855: Flags [P.], seq 2612692:2612904, ack 1153, win 501, length 212
00:16:23.821062 IP comp3134Winter2022.ssh > cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855: Flags [P.], seq 2612904:2613116, ack 1153, win 501, length 212
00:16:23.821189 IP comp3134Winter2022.ssh > cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855: Flags [P.], seq 2613116:2613328, ack 1153, win 501, length 212
00:16:23.821312 IP comp3134Winter2022.ssh > cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855: Flags [P.], seq 2613328:2613540, ack 1153, win 501, length 212
00:16:23.821438 IP comp3134Winter2022.ssh > cpef85e4242d0f2-cmf85e4242d0f0.cpe.net.cable.rogers.com.53855: Flags [P.], seq 2613540:2613752, ack 1153, win 501, length 212
